timestamp,jan1a,nor1a,sor1a,rst1a,har1a,kar1a,nal1a,lyr2a,tro2a,and1a,bjn1a,hop1a,don1a,jck1a,rvk1a,sol1a,dob1a,kir1a,top1a,kev1a,kas1a,kil1a,iav1a,muo1a,pel1a,ran1a,ouj1a,mek1a,han1a,nur1a,tar1a,sod1a,lrv1a,bfe6d,roe1d,bor2d,hov1d,nrd1d,sco2d,amk1f,kul2d
2024-09-01 00:00:00,1.9832993024447205,-92.67742245715635,-141.1510270266608,-205.45620280152616,-24.385065198224765,-18.259389713099154,59.74687913446269,59.06018650079659,-204.3006833638392,-213.64857303698955,15.743036864863825,27.061069114671227,-200.50233485088393,-213.2102480237063,-177.36755470675234,-35.928865447125645,-56.03073281343677,,-17.587981201788352,-208.34466477589194,,-230.5381183859281,,-241.98984872143956,-235.61752390168294,-240.4780318298108,-151.08669574856867,-66.08271272754246,,-34.113210819881715,-24.68439575933371,-257.93432878739804,-107.39339676765667,-16.68744048958615,-17.570700879226933,,-70.49351372183992,,,,
2024-09-01 00:01:00,2.712419898236476,-113.80590209671209,-165.24645691921978,-196.31157655620154,-25.808739543721458,-19.059717908416133,58.92750422571589,59.52700831532911,-209.84898828967562,-201.3780889242862,22.12756138907571,32.22993931651399,-203.2380319690019,-212.57174890838178,-187.50221308711843,-37.82208754461135,-59.57404644539747,-218.76198461454442,-17.681966873260535,-212.4395318702591,,-226.83570224932737,,-237.4412657555713,-230.97807718440527,-242.0889209635934,-157.83589077842407,-67.87967173852485,,-34.213463687843614,-24.358661733513145,-252.3804102176491,-109.21199121062818,-16.851855075561616,-17.747128724611684,,-74.09778280742285,,,,
2024-09-01 00:02:00,2.4825023864959803,-136.78937633815985,-179.313470513036,-184.41617372393557,-26.767929018948053,-20.003766792697206,57.55356627491892,58.59088582602362,-197.79502971598595,-183.1784848228799,22.819404147227033,31.41069433834855,-199.27639699503197,-206.7835326289878,-191.2327218296632,-39.16708961537006,-61.73198716799561,-226.8623171586205,-18.314831626983505,-222.18508819172712,,-208.94082268874627,,-220.51813951244003,-214.44562669582774,-223.66985736416973,-147.9059498539027,-64.01223675988149,,-33.444404761032274,-24.322400058137646,-230.20097018780325,-112.77346528888484,-18.02908824312908,-18.458705807686783,,-74.61110251861282,,,,
2024-09-01 00:03:00,6.4806271866182215,-140.34626277508505,-170.70483570601573,-172.0938804589623,-28.56480720307809,-21.035186414470445,58.29044476799936,59.17713347409244,-168.8036604244462,-164.23051158304588,26.947684948603637,33.20350790003158,-199.36144508323014,-206.69001802706225,-199.39499414126476,-41.003554887378414,-64.814547152675,-223.58141918978254,-19.12737079355429,-212.10477435754365,,-176.1740621526169,,-211.80237415663942,-214.7467501738156,-213.85974631495992,-138.44109647546065,-58.57909138775722,,-33.12675478705205,-24.68933840979662,-220.41394839697205,-120.33265675417533,-19.577364247405058,-19.45632137580469,,-77.14011646303516,,,,
2024-09-01 00:04:00,1.977008678491984,-134.70156183638392,-145.89953630181844,-165.7098967342754,-29.16500219992122,-21.325008931928096,60.296248627561,60.50351843394037,-141.94424949798304,-148.30253273554627,28.97369390113272,37.24546217475745,-203.92001768548107,-211.4109741542361,-207.14463796975542,-40.9808809166625,-66.43573118066342,-209.92840879351752,-19.658509609955217,-179.85881706705004,,-151.52715050634106,,-209.31121334933232,-230.4600920827961,-226.72555122073027,-149.80748552840305,-59.87092547481552,,-33.970640668747365,-24.963304379863985,-229.4067616339853,-112.30846923960235,-20.650806620044023,-20.350673808148713,,-72.61336953925456,,,,
2024-09-01 00:05:00,-3.9502368311586906,-118.97353082772133,-126.21449885703623,-163.52610392406496,-28.9779020693004,-21.485656282462514,60.78375010099899,59.988174570657975,-137.2550487085573,-146.01404132813695,26.83504495544912,35.275075654747525,-201.17980090709898,-208.52616193672475,-202.95882606527994,-39.82314258500628,-65.22250117939802,-198.27764973194462,-20.294215186240763,-147.22981205640463,,-147.12880671510902,,-201.9384602038408,-234.60008628433752,-236.43745607018172,-161.91741323475617,-62.19853889251863,,-35.32830175135314,-25.72310285958156,-234.14182065242494,-129.8196278135838,-21.57112090818191,-21.275570247365977,,-64.11910163689572,,,,
2024-09-01 00:06:00,-6.720101824434096,-120.26670631722482,-129.05262886320452,-161.3222437513341,-30.23234744771071,-22.421590511168688,64.70347466001022,63.33791745063991,-148.40687611920657,-154.35695054853204,30.862757418193723,38.258311263108226,-198.25256882238864,-207.23722502329838,-201.3919792541128,-40.879112191307286,-65.89653721809918,-194.28071563773847,-20.9660772228126,-143.8139532231562,,-159.72474865139156,,-199.79534985500322,-237.37432122421887,-237.40095461119927,-163.38208997536458,-62.314722021617854,,-35.86505613033296,-26.32268053371081,-233.4182734128426,-142.95957540111704,-22.693222251837142,-22.21399804981411,,-64.13272397103356,,,,
2024-09-01 00:07:00,-6.120087877132391,-130.43022091020794,-139.9303850452452,-163.45065299860835,-31.348914198144485,-23.300899737969303,70.92771807234658,68.79024563293478,-155.95821805060768,-156.11656430654693,37.807487989921356,46.68220134317016,-202.07353833164416,-209.4943491753329,-207.68375572482364,-42.147291380641036,-67.39970139105571,-189.2540332269491,-21.582857651490485,-155.09628227473695,,-166.00449219361508,,-201.67800508820983,-244.28005369443963,-245.7924661586767,-167.79811784517005,-61.94464366606553,,-36.1176897018413,-26.322712042738203,-240.70245835790593,-131.4218977351211,-23.18708163613701,-22.899159651839,,-63.24432614167199,,,,
2024-09-01 00:08:00,-0.9276751537126984,-125.39963111682482,-142.25218097518336,-156.66158453838398,-31.21944896412242,-23.544848317693322,67.6236750227963,65.22845240247989,-141.1399018296197,-148.72003352628235,35.58766486415516,47.09541950996572,-192.01616136044504,-198.66943929191984,-199.56360879383647,-40.79310193161837,-65.40249780152772,-188.2445416828832,-21.981073688501056,-153.94341412630638,,-145.6481310295385,,-186.07196068621852,-231.9460526290477,-246.3818600603081,-168.74832946818424,-60.77710201045011,,-36.11438470177745,-26.343449267316828,-233.79885068783005,-121.17703902031826,-23.98004223765747,-23.567045323026832,,-57.70410683009504,,,,
2024-09-01 00:09:00,6.843399405775926,-123.39433388787074,-135.7442897406363,-152.4961081443962,-31.395643651429054,-23.460121392898145,65.4091256155516,63.345150090873176,-136.99678665654938,-143.4742675040652,29.715558738555046,47.07553502594783,-189.49466782378113,-193.4687212288154,-198.99933409168807,-40.60850237068371,-64.86031153699696,-194.26047611751346,-22.09682083910593,-143.49635652326288,,-140.61918331824745,,-174.5164959070371,-221.5031694899899,-250.0638082501755,-175.2754985965712,-61.49305865721908,,-36.195309421109414,-26.415795045455525,-223.1378321920256,-115.47037306661696,-23.80379268780598,-23.59010081989618,,-58.7008024005263,,,,
