station,latitude,longitude
jan1a,70.9,-8.7
nor1a,71.0917,25.7856
sor1a,70.5414,22.2247
rst1a,67.53,12.0986
har1a,60.21,10.75
kar1a,59.2111,5.245
nal1a,78.9222,11.9339
lyr2a,78.2,15.83
tro2a,69.6617,18.94
and1a,69.2953,16.0381
bjn1a,74.5039,19.0014
hop1a,76.51,25.01
don1a,66.1111,12.4969
jck1a,66.4,16.9833
rvk1a,64.9469,10.9872
sol1a,61.08,4.84
dob1a,62.07,9.11
kir1a,67.83,20.42
top1a,56.087,13.70684
kev1a,69.76,27.01
kil1a,69.02,20.79
muo1a,68.02,23.53
pel1a,66.9,24.08
ran1a,65.54,26.25
ouj1a,64.52,27.23
mek1a,62.77,30.97
han1a,62.25,26.6
nur1a,60.5,24.65
tar1a,58.26,26.46
lrv1a,64.183,-21.7
bfe6d,55.625,11.672
roe1d,55.172,8.55
hov1d,61.343,353.21
nrd1d,81.6,343.33
sco2d,70.48,338.03
amk1f,65.6,322.37
kul2d,65.57,322.83
